Date : 2025-04-19 15:57:59
Directory : d:\Program\IKUN_Manager
Total : 88 files,  29980 codes, 1404 comments, 2116 blanks, all 33500 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Program\IKUN_Manager\src\types\scoreReport.ts                        | TypeScript         |         29 |          4 |          4 |         37 |
| d:\Program\IKUN_Manager\src\types\statistics.ts                         | TypeScript         |         35 |          6 |          6 |         47 |
| d:\Program\IKUN_Manager\src\types\student.ts                            | TypeScript         |         60 |          7 |         10 |         77 |
| d:\Program\IKUN_Manager\src\types\user.ts                               | TypeScript         |         27 |          6 |          6 |         39 |
| d:\Program\IKUN_Manager\src\utils\eventBus.ts                           | TypeScript         |          7 |          0 |          2 |          9 |
| d:\Program\IKUN_Manager\src\utils\export.ts                             | TypeScript         |          7 |          0 |          1 |          8 |
| d:\Program\IKUN_Manager\src\utils\logger.ts                             | TypeScript         |         64 |          6 |         12 |         82 |
| d:\Program\IKUN_Manager\src\utils\request.ts                            | TypeScript         |        505 |         65 |         39 |        609 |
| d:\Program\IKUN_Manager\src\utils\validate.ts                           | TypeScript         |        100 |         54 |         15 |        169 |
| d:\Program\IKUN_Manager\src\views\BackgroundSlider\BackgroundSlider.vue | vue                |         62 |          0 |         10 |         72 |
| d:\Program\IKUN_Manager\src\views\clazz\index.vue                       | vue                |        773 |          7 |         88 |        868 |
| d:\Program\IKUN_Manager\src\views\dashboard\index.vue                   | vue                |        449 |          3 |         46 |        498 |
| d:\Program\IKUN_Manager\src\views\dept\index.vue                        | vue                |        482 |          4 |         46 |        532 |
| d:\Program\IKUN_Manager\src\views\empReport\empReport.vue               | vue                |        617 |          4 |         64 |        685 |
| d:\Program\IKUN_Manager\src\views\emp\index.vue                         | vue                |        989 |          5 |        128 |      1,122 |
| d:\Program\IKUN_Manager\src\views\error\404.vue                         | vue                |         52 |          0 |          8 |         60 |
| d:\Program\IKUN_Manager\src\views\exam\index.vue                        | vue                |      1,156 |         19 |        141 |      1,316 |
| d:\Program\IKUN_Manager\src\views\log\log.vue                           | vue                |        401 |          3 |         59 |        463 |
| d:\Program\IKUN_Manager\src\views\login\index.vue                       | vue                |        183 |          1 |         29 |        213 |
| d:\Program\IKUN_Manager\src\views\profile\index.vue                     | vue                |        513 |          4 |         81 |        598 |
| d:\Program\IKUN_Manager\src\views\score\index.vue                       | vue                |      1,022 |          5 |        113 |      1,140 |
| d:\Program\IKUN_Manager\src\views\settings\index.vue                    | vue                |        189 |          0 |         30 |        219 |
| d:\Program\IKUN_Manager\src\views\stuReport\stuReport.vue               | vue                |        760 |          6 |         85 |        851 |
| d:\Program\IKUN_Manager\src\views\stu\index.vue                         | vue                |        752 |          4 |         79 |        835 |
| d:\Program\IKUN_Manager\student_score.sql                               | MS SQL             |         61 |         21 |          5 |         87 |
| d:\Program\IKUN_Manager\tsconfig.config.json                            | JSON               |          9 |          0 |          1 |         10 |
| d:\Program\IKUN_Manager\tsconfig.json                                   | JSON with Comments |         18 |          0 |          2 |         20 |
| d:\Program\IKUN_Manager\vite.config.ts                                  | TypeScript         |         36 |          1 |          2 |         39 |
| Total                                                                   |                    |     29,980 |      1,404 |      2,116 |     33,500 |
+-------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
